"ProductName","Location","Sublocation","Serial","Quantity"
"5 Moon Pallene Bracelet in Silver","Fremantle","","","-1.00000"
"5 Moon Pallene Bracelet in Silver","Moonglow HQ","","","1.00000"
"5 Moon Pallene Bracelet in Silver","Travel","","","-1.00000"
"6 drop gold necklace","Travel","","","-1.00000"
"6 Moon mini simp Rose Gold Necklace","Travel","","","-1.00000"
"6 moon pallene rose gold","Moonglow HQ","","","-1.00000"
"7 drop silver pallene bracelet (1$ discount user error)","Travel","","","-1.00000"
"Accidental overcharge","Queen Vic","","","-1.00000"
"Accidentally overcharged, looked up the price inline $139, so charged $135","Coolum","","","-1.00000"
"Additional Engraving tag - Gold","Coolum","","","-1.00000"
"Additional Engraving tag - Gold","Moonglow HQ","","","352.00000"
"Additional Engraving tag - Gold","New Zealand","","","28.00000"
"Additional Engraving tag - Gold","Queen Vic","","","11.00000"
"Additional Engraving tag - Gold","Travel","","","25.00000"
"Additional Engraving tag - Pewter (for Classic in Pewter)","Moonglow HQ","","","133.00000"
"Additional Engraving tag - Pewter (for Classic in Pewter)","New Zealand","","","30.00000"
"Additional Engraving tag - Pewter (for Classic in Pewter)","Queen Vic","","","5.00000"
"Additional Engraving tag - Rose Gold","Moonglow HQ","","","640.00000"
"Additional Engraving tag - Rose Gold","New Zealand","","","30.00000"
"Additional Engraving tag - Rose Gold","Queen Vic","","","18.00000"
"Additional Engraving tag - Rose Gold","Travel","","","25.00000"
"Additional Engraving tag - Stainless","Moonglow HQ","","","742.00000"
"Additional Engraving tag - Stainless","New Zealand","","","139.00000"
"Additional Engraving tag - Stainless","Queen Vic","","","4.00000"
"Additional Engraving tag - Stainless","Travel","","","95.00000"
"Additional Interchangeable MINI Moon phase Moondrop (smaller 10mm)","Moonglow HQ","","","-6.00000"
"Additional Interchangeable Moon phase Moondrop (13mm diameter)","Moonglow HQ","","","-2.00000"
"Additional Reg Moon to Bracelet","Travel","","","-1.00000"
"Additional silver mini moon to necklace","Travel","","","-1.00000"
"Adjustable ring in rhodium","Travel 2-Melbourne Show","","","4.00000"
"Adjustable ring in rose gold","New Zealand","","","13.00000"
"Adjustable ring in rose gold","Travel 2-Melbourne Show","","","4.00000"
"Adjustable ring in yellow gold","Travel 2-Melbourne Show","","","4.00000"
"After pay test","Coolum Shop","","","-1.00000"
"Afterpay purchase queen Vic","Moonglow HQ","","","-1.00000"
"Anklet Aphrodite","Coolum","","","6.00000"
"Anklet chain stainless steel(double chain)","Moonglow HQ","","","16.00000"
"Aphrodite Anklet in Gold","Coolum","","","-3.00000"
"Aphrodite Anklet in Gold","Eumundi","","","4.00000"
"Aphrodite Anklet in Gold","Moonglow HQ","","","4.00000"
"Apollo on cord","Coolum","","","-1.00000"
"Balance price sheet YG 3 drop bracelet sold for $250 as per sheet","Fremantle","","","-1.00000"
"Balancing POS to price sheet (thick stainless chain sold as $30 as per price sheet)","Fremantle","","","-1.00000"
"Balancing to price sheet","Fremantle","","","-1.00000"
"Bangle in rose gold- regular","Eumundi","BANGLE-RG","","22.00000"
"Bangle in rose gold- regular","Fremantle","","","3.00000"
"Bangle in rose gold- regular","Moonglow HQ","","","171.00000"
"Bangle in rose gold- regular","New Zealand","","","10.00000"
"Bangle in rose gold- regular","Queen Vic","","","4.00000"
"Bangle in rose gold- regular","Travel","","","1.00000"
"Bangle in stainless steel- regular","Coolum","","","1.00000"
"Bangle in stainless steel- regular","Moonglow HQ","","","-2.00000"
"Bangle in stainless steel- regular","New Zealand","","","19.00000"
"Bangle in stainless steel- regular","Travel","","","4.00000"
"Bangle in stainless steel- small","Fremantle","","","1.00000"
"Bangle in stainless steel- small","New Zealand","","","2.00000"
"Bangle in stainless steel- small","Queen Vic","","","-1.00000"
"Bangle in stainless steel- small","Travel","","","-2.00000"
"Bangle in yellow gold- regular","Eumundi","","","14.00000"
"Bangle in yellow gold- regular","Eumundi","BANGLE-YG","","2.00000"
"Bangle in yellow gold- regular","Fremantle","","","3.00000"
"Bangle in yellow gold- regular","Moonglow HQ","","","65.00000"
"Bangle in yellow gold- regular","New Zealand","","","9.00000"
"Bangle in yellow gold- regular","Travel","","","-1.00000"
"Beaded anklet in silver (Not in Shopify)","Eumundi","ANKLET-BEADED-SS","","10.00000"
"Beaded anklet in yellow gold (Not in Shopify)","Eumundi","ANKLET-BEADED-YG","","1.00000"
"Beaded bracelet- black Labradorite","Coolum","","","-1.00000"
"Beaded bracelet- black Labradorite","Moonglow HQ","","","1.00000"
"Beaded bracelet- black Labradorite","Travel","","","1.00000"
"Beaded bracelet- blue Angelite","Coolum","","","2.00000"
"Beaded bracelet- blue Angelite","Moonglow HQ","","","7.00000"
"Beaded bracelet- blue Angelite","Travel","","","2.00000"
"Beaded bracelet- white Moonstone","Moonglow HQ","","","2.00000"
"Beaded bracelet- white Moonstone","Travel","","","5.00000"
"Beaded bracelet- white Moonstone","Travel 2-Melbourne Show","","","10.00000"
"beaded silver bracelets","Queen Vic","","","-2.00000"
"Bhavana Crystal Bracelet- in Grey Agate","Moonglow HQ","","","11.00000"
"Bhavana Crystal Necklace - Grey Agate","Moonglow HQ","","","3.00000"
"Bhavana Crystal Necklace - Rose Quartz","Moonglow HQ","","","1.00000"
"big peel reveal","Travel","","","-2.00000"
"Birth Month Flower Pendant - 16-20'' Sterling Silver / Apr • Daisy","Moonglow HQ","","","8.00000"
"Birth Month Flower Pendant - 16-20'' Sterling Silver / Aug • Gladiolus","Moonglow HQ","","","6.00000"
"Birth Month Flower Pendant - 16-20'' Sterling Silver / Dec • Poinsettia","Moonglow HQ","","","7.00000"
"Birth Month Flower Pendant - 16-20'' Sterling Silver / Feb • Iris","Moonglow HQ","","","6.00000"
"Birth Month Flower Pendant - 16-20'' Sterling Silver / Jan • Carnation","Moonglow HQ","","","3.00000"
"Birth Month Flower Pendant - 16-20'' Sterling Silver / Jul • Delphinium","Moonglow HQ","","","5.00000"
"Birth Month Flower Pendant - 16-20'' Sterling Silver / Jun • Rose","Moonglow HQ","","","8.00000"
"Birth Month Flower Pendant - 16-20'' Sterling Silver / Mar • Jonquil","Moonglow HQ","","","5.00000"
"Birth Month Flower Pendant - 16-20'' Sterling Silver / May • Lily","Moonglow HQ","","","12.00000"
"Birth Month Flower Pendant - 16-20'' Sterling Silver / Nov • Chrysanthemum","Moonglow HQ","","","9.00000"
"Birth Month Flower Pendant - 16-20'' Sterling Silver / Oct • Marigold","Moonglow HQ","","","12.00000"
"Birth Month Flower Pendant - 16-20'' Sterling Silver / Sep • Aster","Moonglow HQ","","","7.00000"
"Birth Stone September Gold","Coolum","","","-1.00000"
"Birthstone Bracelet in Stainless Steel","Moonglow HQ","","","255.00000"
"Birthstone glue in- April","Moonglow HQ","","","185.00000"
"Birthstone glue in- August","Moonglow HQ","","","219.00000"
"Birthstone glue in- Black","Moonglow HQ","","","102.00000"
"Birthstone glue in- December","Moonglow HQ","","","170.00000"
"Birthstone glue in- February","Moonglow HQ","","","126.00000"
"Birthstone glue in- January","Moonglow HQ","","","149.00000"
